Date,Open,High,Low,Close,Volume
8-Oct-10,10700,10700,10350,10500,6905000
7-Oct-10,10550,10750,10300,10700,9235000
6-Oct-10,10700,10800,10500,10600,12332000
5-Oct-10,10400,10600,10300,10600,18059500
4-Oct-10,10150,10450,10150,10350,34938500
1-Oct-10,10000,10100,9850,10050,15951500
30-Sep-10,10000,10050,9850,10000,18985500
29-Sep-10,10100,10150,9900,10000,18177000
28-Sep-10,10100,10250,9950,10000,20188500
27-Sep-10,10050,10250,10050,10150,21967500
24-Sep-10,9950,10050,9900,10000,20647000
23-Sep-10,9950,10050,9850,9950,10975500
22-Sep-10,9950,10050,9900,9950,16179500
21-Sep-10,10200,10300,9900,9950,29001000
20-Sep-10,10400,10400,10100,10200,7381500
17-Sep-10,10750,10800,10400,10400,12287000
16-Sep-10,10050,10700,10000,10700,18147000
15-Sep-10,9700,10250,9700,10100,46800500
7-Sep-10,9500,9550,9500,9550,7600500
6-Sep-10,9500,9550,9450,9550,16467000
3-Sep-10,9500,9650,9450,9500,10664500
2-Sep-10,9700,9750,9400,9500,14550500
1-Sep-10,9350,9600,9350,9600,15037000
31-Aug-10,9350,9500,9250,9300,10873000
30-Aug-10,9500,9650,9400,9450,11923000
27-Aug-10,9600,9650,9350,9450,16575000
26-Aug-10,9800,9850,9500,9700,9641000
25-Aug-10,9800,9850,9600,9800,7219500
24-Aug-10,9550,9850,9550,9800,18953000
23-Aug-10,9500,9550,9400,9550,1923000
20-Aug-10,9650,9650,9500,9600,4471000
19-Aug-10,9300,9750,9300,9700,23132000
18-Aug-10,9250,9300,9100,9250,10921500
16-Aug-10,9350,9350,9100,9200,13642500
13-Aug-10,9300,9350,9250,9350,9027000
12-Aug-10,9300,9350,9200,9300,15558000
11-Aug-10,9500,9600,9350,9400,5787000
10-Aug-10,9550,9600,9500,9550,8498500
9-Aug-10,9400,9550,9400,9550,12177500
6-Aug-10,9450,9500,9300,9400,12123500
5-Aug-10,9300,9450,9250,9450,25541000
4-Aug-10,9000,9300,8800,9200,30907000
3-Aug-10,9450,9550,9000,9050,39861500
2-Aug-10,9850,9850,9350,9450,28662000
30-Jul-10,9950,10050,9550,9900,9733000
29-Jul-10,10000,10150,9950,10050,7142500
28-Jul-10,9900,10150,9900,9900,13224500
27-Jul-10,10050,10150,9900,10000,11328500
26-Jul-10,10000,10100,9900,9950,5680000
23-Jul-10,9950,10050,9900,9950,7287000
