Date,Open,High,Low,Close,Volume
20-Nov-13,7700.00,7700.00,7450.00,7650.00,57050500
19-Nov-13,7800.00,7850.00,7700.00,7700.00,26280500
18-Nov-13,7850.00,7900.00,7750.00,7850.00,24418500
15-Nov-13,8000.00,8050.00,7750.00,7800.00,26347000
14-Nov-13,7600.00,7900.00,7550.00,7900.00,43468000
13-Nov-13,7550.00,7650.00,7350.00,7450.00,73817500
12-Nov-13,8000.00,8050.00,7700.00,7700.00,56050500
11-Nov-13,8250.00,8250.00,7950.00,8000.00,39971000
8-Nov-13,8250.00,8300.00,8200.00,8200.00,15709500
7-Nov-13,8300.00,8450.00,8250.00,8350.00,20204500
6-Nov-13,8400.00,8400.00,8250.00,8250.00,20265500
4-Nov-13,8300.00,8350.00,8050.00,8250.00,29074000
1-Nov-13,8400.00,8600.00,8300.00,8350.00,28614000
